Month	All	Tornado	Wind	Hail
Jan	211	4	196	11
Feb	546	42	441	63
Mar	499	20	183	296
Apr	2667	140	929	1598
May	3602	130	1166	2306
Jun	7034	292	4129	2613
Jul	4558	87	3184	1287
Aug	2117	33	1318	766
Sep	1308	42	802	464
Oct	1392	73	842	477
Nov	187	25	154	8
Dec	180	20	97	63
Jan	92	28	64	0
Feb	56	3	48	5
Mar	655	11	120	524
Apr	3622	178	1436	2008
May	3595	391	1729	1475
Jun	6695	188	4102	2405
Jul	4852	119	3611	1122
Aug	2734	45	1669	1020
Sep	948	17	451	480
Oct	295	40	102	153
Nov	481	105	283	93
Dec	535	87	358	90
Jan	221	17	119	85
Feb	922	105	693	124
Mar	1575	90	560	925
Apr	2390	141	851	1398
May	4295	219	1500	2576
Jun	4889	86	3463	1340
Jul	7135	112	5459	1564
Aug	2368	90	1710	568
Sep	1276	39	747	490
Oct	427	22	197	208
Nov	360	50	208	102
Dec	185	19	142	24
Jan	853	139	540	174
Feb	1040	73	463	504
Mar	3762	196	2087	1479
Apr	3470	227	1520	1723
May	5606	295	2989	2322
Jun	5048	154	3077	1817
Jul	4137	84	2990	1063
Aug	2366	117	1480	769
Sep	891	51	546	294
Oct	685	79	428	178
Nov	394	44	299	51
Dec	69	14	34	21
Jan	95	16	69	10
Feb	194	46	133	15
Mar	662	62	250	350
Apr	1321	146	855	320
May	3786	161	2255	1370
Jun	4974	171	3732	1071
Jul	3358	95	2531	732
Aug	2513	83	1929	501
Sep	886	111	659	116
Oct	388	103	209	76
Nov	404	102	294	8
Dec	355	70	243	42
Jan	139	22	90	27
Feb	236	27	146	63
Mar	1105	113	510	482
Apr	3036	280	1993	763
May	5736	529	2838	2369
Jun	6498	181	4393	1924
Jul	4584	103	3340	1141
Aug	4764	78	3399	1287
Sep	1685	85	904	696
Oct	1039	69	817	153
Nov	97	16	38	43
Dec	249	60	150	39
Jan	945	89	798	58
Feb	648	42	550	56
Mar	1146	89	549	508
Apr	4516	280	2695	1541
May	3497	128	1880	1489
Jun	5352	91	3874	1387
Jul	5648	101	4155	1392
Aug	4421	186	3261	974
Sep	453	38	277	138
Oct	493	19	406	68
Nov	821	24	744	53
Dec	152	27	119	6
Jan	121	16	66	39
Feb	120	11	65	44
Mar	1376	145	612	619
Apr	1852	80	737	1035
May	3614	265	1964	1385
Jun	4401	105	3291	1005
Jul	4269	130	3376	763
Aug	3894	155	3004	735
Sep	1111	30	752	329
Oct	730	151	462	117
Nov	184	25	92	67
Dec	1475	248	1104	123
Jan	193	33	137	23
Feb	179	11	117	51
Mar	1603	240	1089	274
Apr	2682	221	1292	1169
May	5978	243	3451	2284
Jun	6008	127	4374	1507
Jul	5063	64	4101	898
Aug	2375	37	1960	378
Sep	818	25	511	282
Oct	422	36	216	170
Nov	447	68	260	119
Dec	134	58	56	20
Jan	794	168	559	67
Feb	446	55	326	65
Mar	1451	161	827	463
Apr	2737	213	1436	1088
May	2366	199	1055	1112
Jun	5519	243	3549	1727
Jul	6753	117	5367	1269
Aug	3716	148	3012	556
Sep	1597	22	1154	421
Oct	330	31	180	119
Nov	51	20	25	6
Dec	204	46	89	69

