Date	Open	High	Low	Close 	Adj Close 	Volume
Apr 22, 2024	64,945.38	65,125.81	64,945.38	65,016.30	65,016.30	20,507,916,288
Apr 20, 2024	63,851.10	65,442.46	63,172.40	64,994.44	64,994.44	23,097,485,495
Apr 19, 2024	63,510.75	65,481.60	59,651.39	63,843.57	63,843.57	49,920,425,401
Apr 18, 2024	61,275.32	64,125.69	60,833.48	63,512.75	63,512.75	36,006,307,335
Apr 17, 2024	63,831.85	64,486.36	59,768.59	61,276.69	61,276.69	41,915,247,049
Apr 16, 2024	63,419.30	64,355.67	61,716.40	63,811.86	63,811.86	42,847,528,078
Apr 15, 2024	65,739.65	66,878.65	62,332.07	63,426.21	63,426.21	43,595,917,654
Apr 14, 2024	63,836.23	65,824.43	62,205.85	65,738.73	65,738.73	49,084,320,047
Apr 13, 2024	67,188.38	67,931.43	60,919.11	63,821.47	63,821.47	52,869,738,185
Apr 12, 2024	70,061.38	71,222.74	65,254.84	67,195.87	67,195.87	44,129,299,406
Apr 11, 2024	70,575.73	71,256.23	69,571.81	70,060.61	70,060.61	30,153,382,941
Apr 10, 2024	69,140.24	71,093.43	67,503.56	70,587.88	70,587.88	38,318,601,774
Apr 9, 2024	71,632.50	71,742.51	68,212.92	69,139.02	69,139.02	36,426,900,409
Apr 8, 2024	69,362.55	72,715.36	69,064.24	71,631.36	71,631.36	37,261,432,669
Apr 7, 2024	68,897.11	70,284.43	68,851.63	69,362.55	69,362.55	21,204,930,369
Apr 6, 2024	67,840.57	69,629.60	67,491.72	68,896.11	68,896.11	19,967,785,809
Apr 5, 2024	68,515.76	68,725.76	66,011.48	67,837.64	67,837.64	33,748,230,056
Apr 4, 2024	65,975.70	69,291.26	65,113.80	68,508.84	68,508.84	34,439,527,442
Apr 3, 2024	65,446.67	66,914.32	64,559.90	65,980.81	65,980.81	34,488,018,367
Apr 2, 2024	69,705.02	69,708.38	64,586.59	65,446.97	65,446.97	50,705,240,709
Apr 1, 2024	71,333.48	71,342.09	68,110.70	69,702.15	69,702.15	34,873,527,352
Mar 31, 2024	69,647.78	71,377.78	69,624.87	71,333.65	71,333.65	20,050,941,373
Mar 30, 2024	69,893.45	70,355.49	69,601.06	69,645.30	69,645.30	17,130,241,883
Mar 29, 2024	70,744.80	70,913.09	69,076.66	69,892.83	69,892.83	25,230,851,763
Mar 28, 2024	69,452.77	71,546.02	68,895.51	70,744.95	70,744.95	34,374,900,617
Mar 27, 2024	69,991.90	71,727.69	68,381.93	69,455.34	69,455.34	40,827,113,309
Mar 26, 2024	69,931.33	71,535.74	69,335.61	69,987.84	69,987.84	36,010,437,368
Mar 25, 2024	67,234.09	71,162.59	66,414.84	69,958.81	69,958.81	42,700,139,523
Mar 24, 2024	64,070.75	67,622.76	63,825.85	67,234.17	67,234.17	27,206,630,673
Mar 23, 2024	63,802.72	65,976.40	63,038.49	64,062.20	64,062.20	24,738,964,812
Mar 22, 2024	65,489.93	66,623.75	62,355.37	63,778.76	63,778.76	41,401,116,964
Mar 21, 2024	67,911.59	68,199.99	64,580.92	65,491.39	65,491.39	44,480,350,565
Mar 20, 2024	61,930.16	68,115.26	60,807.79	67,913.67	67,913.67	66,792,634,382
Mar 19, 2024	67,556.13	68,106.93	61,536.18	61,912.77	61,912.77	74,215,844,794
Mar 18, 2024	68,371.30	68,897.13	66,594.23	67,548.59	67,548.59	49,261,579,492
Mar 17, 2024	65,316.34	68,845.72	64,545.32	68,390.63	68,390.63	44,716,864,318
Mar 16, 2024	69,392.48	70,046.27	64,801.39	65,315.12	65,315.12	46,842,198,371
Mar 15, 2024	71,387.88	72,357.13	65,630.70	69,403.77	69,403.77	78,320,453,976
Mar 14, 2024	73,079.38	73,750.07	68,563.02	71,396.59	71,396.59	59,594,605,698
Mar 13, 2024	71,482.12	73,637.48	71,334.09	73,083.50	73,083.50	48,212,536,929
Mar 12, 2024	72,125.13	72,825.66	68,728.85	71,481.29	71,481.29	62,554,434,520
Mar 11, 2024	69,020.55	72,850.71	67,194.88	72,123.91	72,123.91	65,716,656,765
