"V1","V2","V3","V4","V5","V6","V7","share"
"Jan-21",25103,7463,"46,843",1106286,32566,0.0294372341329457,2.94372341329457
"Feb-21",26215,9046,"54,045",1193776,35261,0.0295373671442549,2.95373671442549
"Mar-21",40755,12261,"78,123",1597152,53016,0.0331940854721404,3.31940854721404
"Apr-21",33547,18604,"76,397",1518415,52151,0.0343456828337444,3.43456828337444
"May-21",29796,20807,"82,511",1570313,50603,0.0322247857592722,3.22247857592722
"Jun-21",45913,16648,"65,960",1302213,62561,0.0480420637791206,4.80420637791206
"Jul-21",42013,15669,"74,298",1280803,57682,0.0450358095663424,4.50358095663424
"Aug-21",35499,14067,"67,976",1092661,49566,0.0453626513621334,4.53626513621334
"Sep-21",42020,12554,"60,102",1015935,54574,0.0537180036124358,5.37180036124358
"Oct-21",42485,18275,"63,482",1051015,60760,0.0578107829098538,5.78107829098538
"Nov-21",46687,14170,"59,326",1014411,60857,0.0599924488200542,5.99924488200542
"Dec-21",49441,16553,"69,983",1203993,65994,0.0548126110367751,5.48126110367751
"Jan-22",42780,11983,"63,093",991573,54763,0.0552284098094644,5.52284098094644
"Feb-22",46859,12563,"58,175",1045624,59422,0.056829223506729,5.6829223506729
"Mar-22",64160,16200,"76,683",1257821,80360,0.0638882639103656,6.38882639103656
"Apr-22",52537,17875,"71,849",1236432,70412,0.0569477334782665,5.69477334782665
"May-22",52502,15263,"68,737",1108063,67765,0.0611562699954786,6.11562699954786
"Jun-22",74262,14838,"61,039",1143820,89100,0.0778968718854365,7.78968718854365
"Jul-22",64310,13932,"59,229",1126523,78242,0.0694544185959807,6.94544185959807
"Aug-22",59836,13797,"58,869",1134265,73633,0.0649169285837084,6.49169285837084
"Sep-22",69811,13415,"55,892",1124297,83226,0.0740249240191871,7.40249240191871
"Oct-22",71739,17603,"66,661",1181540,89342,0.0756148755014642,7.56148755014642
"Nov-22",69924,16183,"57,086",1135484,86107,0.0758328607008113,7.58328607008113
"Dec-22",79262,19759,"69,099",1268897,99021,0.0780370668383643,7.80370668383643
"Jan-23",72944,15593,"60,069",1046919,88537,0.0845691022896709,8.45691022896709
"Feb-23",81158,17789,"66,320",1138756,98947,0.0868904313127659,8.68904313127659
"Mar-23",92077,21397,"94,289",1374992,113474,0.0825270256117854,8.25270256117854
"Apr-23",92631,23355,"100,528",1361694,115986,0.085177727154559,8.5177727154559
"May-23",92897,25134,"103,832",1362535,118031,0.0866260316248757,8.66260316248757
"Jun-23",100745,23181,"100,762",1368178,123926,0.0905773956312702,9.05773956312702
"Jul-23",99259,23840,"103,757",1298913,123099,0.0947707814149216,9.47707814149216
"Aug-23",92277,28148,"107,325",1316366,120425,0.0914829158455931,9.14829158455931
"Sep-23",101719,29632,"109,269",1331167,131351,0.0986735698826669,9.86735698826669
"Oct-23",90509,22037,"103,799",1193974,112546,0.0942616840902733,9.42616840902733
"Nov-23",102323,24530,"108,549",1235583,126853,0.102666514511773,10.2666514511773
"Dec-23",121647,41121,"117,098",1458853,162768,0.111572584763509,11.1572584763509
"Jan-24",81317,25759,"91,929",1066907,107076,0.100361137381234,10.0361137381234
"Feb-24",81712,28567,"105,919",1238572,110279,0.0890372138236614,8.90372138236614
"Mar-24",101720,33315,"122,332",1438012,135035,0.0939039451687469,9.39039451687469
